article-id,title,news_url,source_domain,real

63,New Space Mission Aims to Study the Atmosphere of Mars,https://www.forbes.com/global-poverty,theguardian.com,1

127,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.who.int/global-health-initiative,ft.com,0

119,NASA Launches New Satellite to Monitor Climate Change,https://www.ft.com/global-stock-markets,scientificamerican.com,1

55,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.who.int/global-health-initiative,aljazeera.com,1

27,Global Markets React to Economic Shifts in Europe,https://www.fifa.com/worldcup,cnn.com,1

111,Breakthrough in Quantum Computing Announced at International Conference,https://www.businessinsider.com/global-renewable-energy-summit,businessinsider.com,1

57,Global Leaders Discuss Solutions to Climate Crisis,https://www.nasa.gov/space-station,nytimes.com,1

24,Top Tech Companies Collaborate on Renewable Energy,https://www.theguardian.com/world/climate-solutions,who.int,0

69,Global Tech Summit Discusses AI Advances,https://www.fifa.com/worldcup,cnbc.com,1

48,New Space Mission Aims to Study the Atmosphere of Mars,https://www.theguardian.com/world/climate-solutions,who.int,1

80,Breakthrough in Cancer Research at Global Conference,https://www.bbc.com/news/world-technology,spacex.com,1

117,New Space Mission Aims to Study the Atmosphere of Mars,https://www.nytimes.com/health/cancer-research,cnn.com,0

56,Breakthrough in Quantum Computing Announced at International Conference,https://www.fifa.com/worldcup,nationalgeographic.com,0

136,UN Holds Emergency Meeting on Global Security,https://www.bbc.com/news/world-technology,ft.com,0

126,Global Stock Markets Show Growth Amid Trade Deals,https://www.wired.com/quantum-computing-conference,nationalgeographic.com,0

49,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.wired.com/quantum-computing-conference,nationalgeographic.com,1

12,Innovations in Space Technology Discussed at Global Symposium,https://www.bloomberg.com/renewable-energy,nytimes.com,0

21,International Space Station Completes 20 Years in Orbit,https://www.bloomberg.com/renewable-energy,theguardian.com,0

107,Top Tech Companies Collaborate on Renewable Energy,https://www.cnbc.com/global-markets,wired.com,0

91,Global Leaders Discuss Solutions to Climate Crisis,https://www.forbes.com/global-poverty,scientificamerican.com,1

2,Global Stock Markets Show Growth Amid Trade Deals,https://www.space.com/scientists-exoplanet-discovery,fifa.com,0

66,EU Leaders Debate New Trade Agreements,https://www.reuters.com/world/europe,scientificamerican.com,1

132,Innovations in Space Technology Discussed at Global Symposium,https://www.nasa.gov/space-station,wired.com,1

133,EU Leaders Debate New Trade Agreements,https://www.theguardian.com/world/climate-solutions,spacex.com,0

80,Global Leaders Discuss Solutions to Climate Crisis,https://www.space.com/scientists-exoplanet-discovery,nasa.gov,1

34,UN Holds Emergency Meeting on Global Security,https://www.nytimes.com/health/cancer-research,aljazeera.com,0

42,World Health Organization Launches Global Health Initiative,https://www.theguardian.com/world/climate-solutions,nationalgeographic.com,0

33,Top Tech Companies Collaborate on Renewable Energy,https://www.bloomberg.com/renewable-energy,bbc.com,0

112,Global Scientists Collaborate on Ocean Conservation Efforts,https://www.forbes.com/global-poverty,businessinsider.com,0

44,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.scientificamerican.com/space-technology-symposium,nasa.gov,1

107,Global Stock Markets Show Growth Amid Trade Deals,https://www.bbc.com/news/world-technology,bloomberg.com,0

147,Breakthrough in Quantum Computing Announced at International Conference,https://www.aljazeera.com/global-security,who.int,1

128,Olympic Committee Prepares for 2024 Games,https://www.fifa.com/worldcup,businessinsider.com,0

116,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.forbes.com/global-poverty,wired.com,1

97,World Health Organization Launches Global Health Initiative,https://www.reuters.com/world/europe,espn.com,0

24,Global Stock Markets Show Growth Amid Trade Deals,https://www.fifa.com/worldcup,wired.com,1

101,Global Markets React to Economic Shifts in Europe,https://www.space.com/scientists-exoplanet-discovery,theguardian.com,1

58,Global Tech Summit Discusses AI Advances,https://www.theguardian.com/world/climate-solutions,bloomberg.com,0

144,Breakthrough in Quantum Computing Announced at International Conference,https://www.nationalgeographic.com/ocean-conservation,space.com,0

115,Global Leaders Discuss Solutions to Climate Crisis,https://www.who.int/global-health-initiative,nationalgeographic.com,0

1,EU Leaders Debate New Trade Agreements,https://www.bloomberg.com/renewable-energy,scientificamerican.com,1

2,UN Holds Emergency Meeting on Global Security,https://www.bbc.com/news/world-technology,espn.com,0

127,Global Scientists Collaborate on Ocean Conservation Efforts,https://www.espn.com/olympic-sports,scientificamerican.com,1

66,FIFA Introduces New Rules for World Cup Tournament,https://www.nasa.gov/space-station,wired.com,0

98,Global Tech Summit Discusses AI Advances,https://www.who.int/global-health-initiative,space.com,1

25,Global Scientists Collaborate on Ocean Conservation Efforts,https://www.businessinsider.com/global-renewable-energy-summit,cnn.com,1

91,Breakthrough in Quantum Computing Announced at International Conference,https://www.bbc.com/news/world-technology,who.int,1

16,Innovations in Space Technology Discussed at Global Symposium,https://www.who.int/global-health-initiative,who.int,1

85,EU Leaders Debate New Trade Agreements,https://www.space.com/scientists-exoplanet-discovery,who.int,1

122,Innovations in Space Technology Discussed at Global Symposium,https://www.bbc.com/news/world-technology,cnbc.com,0

110,Scientists Discover New Exoplanet in Distant Galaxy,https://www.space.com/scientists-exoplanet-discovery,cnn.com,0

134,Global Tech Summit Discusses AI Advances,https://www.scientificamerican.com/space-technology-symposium,aljazeera.com,0

53,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.nationalgeographic.com/ocean-conservation,space.com,0

24,Global Leaders Discuss Solutions to Climate Crisis,https://www.nationalgeographic.com/ocean-conservation,nationalgeographic.com,0

49,New Space Mission Aims to Study the Atmosphere of Mars,https://www.spacex.com/mars-mission,nytimes.com,1

41,Global Markets React to Economic Shifts in Europe,https://www.scientificamerican.com/space-technology-symposium,cnbc.com,1

129,UN Holds Emergency Meeting on Global Security,https://www.fifa.com/worldcup,nasa.gov,0

75,UN Holds Emergency Meeting on Global Security,https://www.cnn.com/science/climate-change,ft.com,1

119,New Space Mission Aims to Study the Atmosphere of Mars,https://www.cnn.com/science/climate-change,cnbc.com,1

57,Global Scientists Collaborate on Ocean Conservation Efforts,https://www.theguardian.com/world/climate-solutions,businessinsider.com,0

141,Global Stock Markets Show Growth Amid Trade Deals,https://www.nytimes.com/health/cancer-research,fifa.com,0

123,FIFA Introduces New Rules for World Cup Tournament,https://www.bloomberg.com/renewable-energy,businessinsider.com,0

19,New Space Mission Aims to Study the Atmosphere of Mars,https://www.space.com/scientists-exoplanet-discovery,bbc.com,1

23,Global Renewable Energy Summit Focuses on Sustainable Solutions,https://www.cnn.com/science/climate-change,cnn.com,1

138,NASA Launches New Satellite to Monitor Climate Change,https://www.aljazeera.com/global-security,cnn.com,0

88,International Space Station Completes 20 Years in Orbit,https://www.reuters.com/world/europe,theguardian.com,1

60,NASA Launches New Satellite to Monitor Climate Change,https://www.bbc.com/news/world-technology,wired.com,0

101,Global Markets React to Economic Shifts in Europe,https://www.nasa.gov/space-station,nationalgeographic.com,1

27,International Space Station Completes 20 Years in Orbit,https://www.wired.com/quantum-computing-conference,bloomberg.com,1

